year,co2_source,mass
1860,cement_co2,0.0
1861,cement_co2,0.0
1862,cement_co2,0.0
1863,cement_co2,0.0
1864,cement_co2,0.0
1865,cement_co2,0.0
1866,cement_co2,0.0
1867,cement_co2,0.0
1868,cement_co2,0.0
1869,cement_co2,0.0
1870,cement_co2,0.0
1871,cement_co2,0.0
1872,cement_co2,0.0
1873,cement_co2,0.0
1874,cement_co2,0.0
1875,cement_co2,0.0
1876,cement_co2,0.0
1877,cement_co2,0.0
1878,cement_co2,0.0
1879,cement_co2,0.0
1880,cement_co2,0.0
1881,cement_co2,0.0
1882,cement_co2,0.0
1883,cement_co2,0.0
1884,cement_co2,0.0
1885,cement_co2,0.0
1886,cement_co2,0.0
1887,cement_co2,0.0
1888,cement_co2,0.0
1889,cement_co2,0.0
1890,cement_co2,0.0
1891,cement_co2,0.0
1892,cement_co2,0.0
1893,cement_co2,0.0
1894,cement_co2,0.0
1895,cement_co2,0.0
1896,cement_co2,0.0
1897,cement_co2,0.0
1898,cement_co2,0.0
1899,cement_co2,0.0
1900,cement_co2,0.0
1901,cement_co2,0.0
1902,cement_co2,0.0
1903,cement_co2,0.0
1904,cement_co2,0.0
1905,cement_co2,0.0
1906,cement_co2,0.0
1907,cement_co2,0.0
1908,cement_co2,0.0
1909,cement_co2,0.0
1910,cement_co2,0.0
1911,cement_co2,0.0
1912,cement_co2,0.0
1913,cement_co2,0.0
1914,cement_co2,0.0
1915,cement_co2,0.0
1916,cement_co2,0.0
1917,cement_co2,0.0
1918,cement_co2,0.0
1919,cement_co2,0.0
1920,cement_co2,0.0
1921,cement_co2,0.0
1922,cement_co2,0.0
1923,cement_co2,0.0
1924,cement_co2,0.0
1925,cement_co2,0.0
1926,cement_co2,0.0
1927,cement_co2,0.0
1928,cement_co2,0.378
1929,cement_co2,0.356
1930,cement_co2,0.349
1931,cement_co2,0.196
1932,cement_co2,0.124
1933,cement_co2,0.16
1934,cement_co2,0.207
1935,cement_co2,0.276
1936,cement_co2,0.323
1937,cement_co2,0.363
1938,cement_co2,0.178
1939,cement_co2,0.338
1940,cement_co2,0.349
1941,cement_co2,0.342
1942,cement_co2,0.28
1943,cement_co2,0.196
1944,cement_co2,0.218
1945,cement_co2,0.349
1946,cement_co2,0.363
1947,cement_co2,0.443
1948,cement_co2,0.509
1949,cement_co2,0.531
1950,cement_co2,0.632
1951,cement_co2,0.611
1952,cement_co2,0.672
1953,cement_co2,0.789
1954,cement_co2,0.945
1955,cement_co2,0.985
1956,cement_co2,1.058
1957,cement_co2,1.148
1958,cement_co2,1.214
1959,cement_co2,1.294
1960,cement_co2,1.381
1961,cement_co2,1.414
1962,cement_co2,1.45
1963,cement_co2,1.541
1964,cement_co2,1.792
1965,cement_co2,1.879
1966,cement_co2,1.817
1967,cement_co2,1.89
1968,cement_co2,1.941
1969,cement_co2,2.13
1970,cement_co2,2.228
1971,cement_co2,2.314
1972,cement_co2,2.437
1973,cement_co2,2.593
1974,cement_co2,2.571
1975,cement_co2,2.476
1976,cement_co2,2.497
1977,cement_co2,2.478
1978,cement_co2,2.463
1979,cement_co2,2.586
1980,cement_co2,2.658
1981,cement_co2,2.961
1982,cement_co2,2.83
1983,cement_co2,2.384
1984,cement_co2,2.691
1985,cement_co2,2.901
1986,cement_co2,2.918
1987,cement_co2,2.888
1988,cement_co2,3.148
1989,cement_co2,3.393
1990,cement_co2,3.478
1991,cement_co2,3.21
1992,cement_co2,2.942
1993,cement_co2,3.03
1994,cement_co2,3.56
1995,cement_co2,3.391
1996,cement_co2,3.29
1997,cement_co2,3.252
1998,cement_co2,3.524
1999,cement_co2,3.552
2000,cement_co2,3.643
2001,cement_co2,3.574
2002,cement_co2,3.541
2003,cement_co2,3.622
2004,cement_co2,3.591
2005,cement_co2,3.678
2006,cement_co2,3.937
2007,cement_co2,3.994
2008,cement_co2,3.915
2009,cement_co2,3.775
2010,cement_co2,3.544
2011,cement_co2,3.509
2012,cement_co2,3.488
2013,cement_co2,3.255
2014,cement_co2,3.18
2015,cement_co2,3.09
2016,cement_co2,2.966
2017,cement_co2,3.02
2018,cement_co2,2.946
2019,cement_co2,3.025
2020,cement_co2,3.025
1860,coal_co2,0.278
1861,coal_co2,0.509
1862,coal_co2,0.355
1863,coal_co2,0.399
1864,coal_co2,0.267
1865,coal_co2,0.421
1866,coal_co2,0.696
1867,coal_co2,0.894
1868,coal_co2,0.733
1869,coal_co2,0.641
1870,coal_co2,0.601
1871,coal_co2,0.692
1872,coal_co2,0.707
1873,coal_co2,0.868
1874,coal_co2,0.89
1875,coal_co2,0.828
1876,coal_co2,0.931
1877,coal_co2,1.066
1878,coal_co2,0.967
1879,coal_co2,1.455
1880,coal_co2,2.206
1881,coal_co2,1.766
1882,coal_co2,2.012
1883,coal_co2,2.426
1884,coal_co2,2.572
1885,coal_co2,2.906
1886,coal_co2,2.887
1887,coal_co2,3.034
1888,coal_co2,3.528
1889,coal_co2,3.426
1890,coal_co2,3.547
1891,coal_co2,4.008
1892,coal_co2,4.151
1893,coal_co2,3.964
1894,coal_co2,4.36
1895,coal_co2,4.591
1896,coal_co2,4.503
1897,coal_co2,4.976
1898,coal_co2,5.613
1899,coal_co2,5.665
1900,coal_co2,10.047
1901,coal_co2,11.205
1902,coal_co2,11.285
1903,coal_co2,11.051
1904,coal_co2,11.377
1905,coal_co2,11.868
1906,coal_co2,14.18
1907,coal_co2,15.264
1908,coal_co2,16.565
1909,coal_co2,14.33
1910,coal_co2,17.437
1911,coal_co2,19.24
1912,coal_co2,20.786
1913,coal_co2,22.391
1914,coal_co2,24.479
1915,coal_co2,21.793
1916,coal_co2,19.273
1917,coal_co2,20.76
1918,coal_co2,22.94
1919,coal_co2,21.739
1920,coal_co2,25.732
1921,coal_co2,23.153
1922,coal_co2,24.344
1923,coal_co2,24.849
1924,coal_co2,27.07
1925,coal_co2,28.235
1926,coal_co2,27.854
1927,coal_co2,28.894
1928,coal_co2,25.908
1929,coal_co2,23.296
1930,coal_co2,21.68
