year,ghg,mass
1860,Methane,0.0
1861,Methane,0.0
1862,Methane,0.0
1863,Methane,0.0
1864,Methane,0.0
1865,Methane,0.0
1866,Methane,0.0
1867,Methane,0.0
1868,Methane,0.0
1869,Methane,0.0
1870,Methane,0.0
1871,Methane,0.0
1872,Methane,0.0
1873,Methane,0.0
1874,Methane,0.0
1875,Methane,0.0
1876,Methane,0.0
1877,Methane,0.0
1878,Methane,0.0
1879,Methane,0.0
1880,Methane,0.0
1881,Methane,0.0
1882,Methane,0.0
1883,Methane,0.0
1884,Methane,0.0
1885,Methane,0.0
1886,Methane,0.0
1887,Methane,0.0
1888,Methane,0.0
1889,Methane,0.0
1890,Methane,0.0
1891,Methane,0.0
1892,Methane,0.0
1893,Methane,0.0
1894,Methane,0.0
1895,Methane,0.0
1896,Methane,0.0
1897,Methane,0.0
1898,Methane,0.0
1899,Methane,0.0
1900,Methane,0.0
1901,Methane,0.0
1902,Methane,0.0
1903,Methane,0.0
1904,Methane,0.0
1905,Methane,0.0
1906,Methane,0.0
1907,Methane,0.0
1908,Methane,0.0
1909,Methane,0.0
1910,Methane,0.0
1911,Methane,0.0
1912,Methane,0.0
1913,Methane,0.0
1914,Methane,0.0
1915,Methane,0.0
1916,Methane,0.0
1917,Methane,0.0
1918,Methane,0.0
1919,Methane,0.0
1920,Methane,0.0
1921,Methane,0.0
1922,Methane,0.0
1923,Methane,0.0
1924,Methane,0.0
1925,Methane,0.0
1926,Methane,0.0
1927,Methane,0.0
1928,Methane,0.0
1929,Methane,0.0
1930,Methane,0.0
1931,Methane,0.0
1932,Methane,0.0
1933,Methane,0.0
1934,Methane,0.0
1935,Methane,0.0
1936,Methane,0.0
1937,Methane,0.0
1938,Methane,0.0
1939,Methane,0.0
1940,Methane,0.0
1941,Methane,0.0
1942,Methane,0.0
1943,Methane,0.0
1944,Methane,0.0
1945,Methane,0.0
1946,Methane,0.0
1947,Methane,0.0
1948,Methane,0.0
1949,Methane,0.0
1950,Methane,0.0
1951,Methane,0.0
1952,Methane,0.0
1953,Methane,0.0
1954,Methane,0.0
1955,Methane,0.0
1956,Methane,0.0
1957,Methane,0.0
1958,Methane,0.0
1959,Methane,0.0
1960,Methane,0.0
1961,Methane,0.0
1962,Methane,0.0
1963,Methane,0.0
1964,Methane,0.0
1965,Methane,0.0
1966,Methane,0.0
1967,Methane,0.0
1968,Methane,0.0
1969,Methane,0.0
1970,Methane,0.0
1971,Methane,0.0
1972,Methane,0.0
1973,Methane,0.0
1974,Methane,0.0
